                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70504,                 1.0625,                 1.3383,                0.45411,                0.41777,                0.41577,                0.30028,                  1.129,                 2.1568,                 2.0177,                0.07075,                0.00325,                0.00325
                      2,                0.77314,                 1.2286,                 1.4021,                0.45171,                0.51912,                0.44675,                0.32486,                 1.0437,                 1.8866,                 1.8895,               0.040685,              0.0065182,              0.0065182
                      3,                0.78809,                 1.2038,                 1.4269,                0.63657,                0.31097,                0.35974,                0.26971,                   1.11,                 2.4934,                 1.9746,               0.010554,              0.0097203,              0.0097203
                      4,                0.82659,                 1.2805,                 1.4706,                0.48697,                0.45077,                0.45686,                0.33965,                 1.0772,                 1.9302,                 1.8778,               0.009703,               0.009703,               0.009703
                      5,                0.82237,                 1.2757,                  1.457,                0.38741,                0.46109,                 0.3948,                0.29799,                 1.0542,                 2.0498,                 1.9161,               0.009703,               0.009703,               0.009703
                      6,                0.84078,                 1.3544,                 1.4901,                0.47055,                0.36939,                0.37304,                0.27782,                 1.0426,                 2.1948,                 1.8698,               0.009604,               0.009604,               0.009604
                      7,                0.82299,                 1.2796,                 1.4424,                0.33506,                0.49034,                0.38994,                0.27099,                 1.1028,                 2.0012,                 1.9109,               0.009505,               0.009505,               0.009505
