                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2933,                 3.5474,                 1.9602,                0.07941,                0.04315,                0.00412,                0.00167,                 3.7148,                 46.676,                 6.8819,                0.07038,              0.0032911,              0.0032911
                      2,                  1.395,                 3.0196,                 2.0258,                0.53367,                0.00215,                0.00023,                  8e-05,                 3.9581,                 19.118,                 6.5084,               0.040347,              0.0065917,              0.0065917
                      3,                 1.3758,                 2.9586,                 2.0189,                0.28276,                0.09254,                0.01867,                0.00865,                 2.3907,                 4.3555,                 3.3493,               0.010281,              0.0098592,              0.0098592
                      4,                 1.2724,                  2.836,                 1.8978,                0.24815,                0.14573,                0.04187,                0.02031,                 2.1877,                 3.5614,                 3.3041,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2523,                 2.7333,                  1.856,                0.10945,                0.23828,                0.05048,                0.02806,                 1.5934,                 4.6935,                 2.5115,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.1905,                 2.7233,                 1.8246,                0.30319,                0.14515,                0.04603,                0.02334,                 1.8557,                 3.1447,                 2.7578,               0.009802,               0.009802,               0.009802
                      7,                  1.184,                 2.6169,                 1.8174,                0.19696,                0.20598,                0.06619,                0.03509,                 1.9105,                 3.2616,                 2.7188,              0.0097525,              0.0097525,              0.0097525
                      8,                  1.132,                 2.5945,                 1.7502,                0.60734,                0.12045,                0.10018,                0.05961,                 1.4029,                 2.8703,                 2.2167,               0.009703,               0.009703,               0.009703
                      9,                 1.1485,                 2.5737,                 1.7618,                0.19504,                0.29162,                0.10441,                0.06975,                 1.4426,                 2.8787,                 2.2672,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.0952,                  2.464,                 1.7223,                0.17148,                0.29837,                0.12236,                0.08038,                 1.4125,                 2.6266,                 2.3147,               0.009604,               0.009604,               0.009604
                     11,                 1.0883,                  2.464,                 1.6966,                0.13409,                0.28041,                0.10239,                 0.0614,                 1.4229,                 2.7764,                 2.3122,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.0954,                 2.4334,                 1.7315,                0.20489,                 0.3461,                0.15118,                0.10259,                 1.4389,                 2.5657,                 2.2943,               0.009505,               0.009505,               0.009505
                     13,                 1.0301,                 2.3708,                 1.6573,                0.24323,                0.29866,                0.17387,                 0.1098,                 1.1889,                  2.539,                 1.9821,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.0939,                 2.4083,                 1.7189,                0.14385,                0.28758,                0.13731,                0.09065,                 1.3322,                 3.1683,                  2.092,               0.009406,               0.009406,               0.009406
                     15,                 1.0423,                 2.3475,                 1.6589,                0.17868,                0.41324,                0.17213,                 0.1176,                 1.1496,                 2.5834,                 1.8994,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.0377,                 2.3106,                 1.6599,                 0.2643,                0.32714,                0.18389,                0.12963,                 1.1792,                 2.4081,                 1.9179,               0.009307,               0.009307,               0.009307
                     17,                 1.0532,                 2.2705,                 1.6672,                0.30001,                0.33838,                0.20477,                0.14006,                 1.3026,                 2.5056,                 2.0863,              0.0092575,              0.0092575,              0.0092575
                     18,                0.98975,                 2.2557,                  1.624,                 0.2876,                0.26246,                0.18547,                0.12405,                 1.1868,                  2.414,                 1.9455,               0.009208,               0.009208,               0.009208
                     19,                 1.0113,                  2.207,                 1.6365,                0.26681,                 0.4502,                 0.2225,                0.15126,                 1.1369,                 2.2205,                 1.8982,              0.0091585,              0.0091585,              0.0091585
                     20,                0.99263,                 2.1966,                 1.6228,                0.26246,                0.32399,                0.21606,                0.13956,                 1.2056,                 2.3188,                 1.9189,               0.009109,               0.009109,               0.009109
                     21,                0.98191,                 2.1561,                 1.6112,                0.34657,                0.28562,                0.24659,                0.17376,                 1.1713,                  2.241,                 1.8902,              0.0090595,              0.0090595,              0.0090595
                     22,                0.97183,                 2.1041,                 1.5814,                0.19765,                0.41684,                0.24671,                0.17395,                 1.1707,                 2.2071,                  1.912,                0.00901,                0.00901,                0.00901
                     23,                0.97242,                 2.0949,                  1.601,                0.21924,                0.42551,                0.27292,                0.19784,                  1.125,                 2.1144,                 1.8678,              0.0089605,              0.0089605,              0.0089605
                     24,                0.92571,                  2.075,                 1.5719,                0.41388,                0.34456,                0.24937,                0.17222,                 1.1288,                 2.3523,                 1.9068,               0.008911,               0.008911,               0.008911
                     25,                0.98218,                 2.0995,                 1.6051,                0.17507,                0.43885,                0.28087,                0.20565,                  1.111,                 2.1182,                 1.8851,              0.0088615,              0.0088615,              0.0088615
                     26,                0.94997,                 2.0788,                 1.5756,                0.25657,                0.40732,                 0.2652,                0.18707,                 1.1875,                 2.2419,                  1.916,               0.008812,               0.008812,               0.008812
                     27,                0.93129,                 2.0183,                 1.5381,                0.23589,                0.36244,                0.26257,                0.18643,                   1.13,                 2.1779,                 1.8989,              0.0087625,              0.0087625,              0.0087625
