                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.76657,                 1.4285,                 1.2353,                0.54566,                0.57609,                0.57328,                0.45739,                0.83905,                 1.4583,                 1.3947,               0.006634,               0.006634,               0.006634
                     37,                 0.7464,                 1.3928,                 1.2159,                0.48982,                0.59384,                0.60684,                0.49383,                0.80661,                 1.4547,                 1.3589,               0.006535,               0.006535,               0.006535
                     38,                0.72964,                 1.3608,                 1.1994,                0.61973,                0.44671,                0.51411,                0.41322,                0.77319,                 1.6909,                 1.3055,               0.006436,               0.006436,               0.006436
                     39,                0.75583,                 1.3659,                  1.224,                 0.5021,                0.57396,                0.57218,                0.46094,                0.83524,                 1.5524,                 1.3755,               0.006337,               0.006337,               0.006337
                     40,                 0.7418,                  1.384,                 1.2171,                0.65359,                 0.4682,                0.56068,                0.44819,                0.81105,                 1.4922,                 1.3529,               0.006238,               0.006238,               0.006238
                     41,                0.75583,                 1.3554,                 1.2101,                0.54613,                0.58993,                 0.5939,                0.46927,                0.81653,                 1.3676,                 1.3455,               0.006139,               0.006139,               0.006139
                     42,                0.74671,                  1.352,                 1.2188,                0.65828,                0.46062,                0.57842,                0.45465,                0.79915,                 1.4785,                 1.3509,                0.00604,                0.00604,                0.00604
                     43,                  0.709,                 1.2734,                 1.1877,                0.44951,                0.54358,                0.54986,                0.44434,                0.82149,                 1.6266,                 1.3629,               0.005941,               0.005941,               0.005941
                     44,                0.70716,                 1.2765,                 1.1962,                 0.6268,                0.49987,                0.56728,                0.46354,                0.76715,                 1.5574,                 1.3173,               0.005842,               0.005842,               0.005842
                     45,                0.71556,                 1.3118,                 1.1954,                0.49605,                0.58543,                 0.5854,                0.46588,                0.79549,                  1.459,                  1.316,               0.005743,               0.005743,               0.005743
                     46,                0.71465,                 1.2344,                 1.1932,                0.59571,                0.57858,                0.65593,                0.52172,                0.76973,                 1.2747,                 1.3001,               0.005644,               0.005644,               0.005644
                     47,                0.69385,                 1.2268,                 1.1917,                0.58735,                0.57036,                0.59721,                0.48475,                0.76626,                 1.4687,                 1.2737,               0.005545,               0.005545,               0.005545
                     48,                0.70091,                 1.2222,                 1.1762,                0.45357,                0.56675,                0.55737,                0.45708,                0.77657,                 1.4621,                 1.3201,               0.005446,               0.005446,               0.005446
                     49,                0.68993,                 1.2156,                 1.1846,                0.52538,                 0.6234,                0.60244,                0.48315,                0.75532,                 1.4059,                 1.2882,               0.005347,               0.005347,               0.005347
                     50,                0.69535,                 1.1583,                 1.1869,                0.55776,                0.59719,                0.58611,                0.47908,                0.75857,                 1.4185,                 1.3045,               0.005248,               0.005248,               0.005248
                     51,                0.67679,                 1.1559,                 1.1678,                 0.5181,                0.52987,                0.53977,                0.45294,                0.76633,                 1.6166,                 1.3091,               0.005149,               0.005149,               0.005149
                     52,                0.68337,                 1.1327,                 1.1779,                0.54096,                0.61778,                0.62709,                 0.4967,                0.79193,                  1.311,                 1.3227,                0.00505,                0.00505,                0.00505
