                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1678,                  3.269,                 1.5574,                0.06753,                0.08728,                 0.0004,                0.00015,                 2.9689,                    inf,                 4.3899,                0.07038,              0.0032911,              0.0032911
                      2,                 1.3432,                 2.8441,                 1.6673,                0.80471,                0.01505,                0.00325,                0.00126,                 2.7821,                 36.753,                 3.5362,               0.040314,              0.0065589,              0.0065589
                      3,                 1.2869,                 2.7306,                  1.629,                0.34597,                0.05989,                0.03045,                0.01218,                 2.2426,                 3.8612,                  3.589,               0.010183,              0.0097606,              0.0097606
                      4,                 1.2081,                 2.5694,                 1.5575,                0.24663,                 0.1948,                0.06305,                0.03568,                 1.6698,                 4.2168,                 2.3655,               0.009703,               0.009703,               0.009703
                      5,                 1.1727,                 2.4414,                 1.5148,                0.51516,                0.13903,                0.11199,                0.07803,                 1.3829,                 3.7117,                  2.132,               0.009703,               0.009703,               0.009703
                      6,                  1.114,                 2.3592,                 1.4828,                0.10829,                0.30317,                0.13995,                0.09204,                 1.3574,                 2.7189,                 1.9602,               0.009604,               0.009604,               0.009604
                      7,                 1.0985,                 2.2724,                 1.4835,                0.21382,                0.24448,                0.09848,                0.06495,                 1.5552,                 3.9566,                 2.2297,               0.009505,               0.009505,               0.009505
                      8,                 1.0664,                 2.2801,                 1.4421,                0.23883,                 0.3218,                0.21128,                0.13774,                 1.3351,                 2.5471,                 1.8457,               0.009406,               0.009406,               0.009406
                      9,                 1.0691,                  2.219,                 1.4498,                0.18112,                0.41216,                0.21299,                0.15125,                 1.1886,                 2.3491,                 1.7755,               0.009307,               0.009307,               0.009307
                     10,                 1.0074,                  2.162,                 1.4118,                0.25518,                0.34467,                0.18153,                0.12813,                 1.2079,                  2.627,                 1.8108,               0.009208,               0.009208,               0.009208
                     11,                 1.0104,                 2.1536,                  1.398,                0.09963,                0.27834,                0.12792,                0.09048,                 1.1446,                 3.7804,                 1.6901,               0.009109,               0.009109,               0.009109
                     12,                0.99738,                 2.1104,                 1.4057,                 0.3667,                0.25878,                0.18305,                0.12292,                 1.1991,                 2.7761,                 1.8171,                0.00901,                0.00901,                0.00901
                     13,                0.93361,                 2.0495,                 1.3547,                0.26671,                0.48417,                0.27587,                0.21262,                0.98558,                 2.2313,                 1.5324,               0.008911,               0.008911,               0.008911
                     14,                0.97705,                 2.0084,                 1.3919,                0.26611,                0.42729,                0.26131,                0.18826,                 1.0402,                 2.5531,                  1.587,               0.008812,               0.008812,               0.008812
                     15,                0.96352,                 1.9989,                 1.3631,                 0.2827,                0.44219,                0.30341,                0.22345,                 1.0141,                 2.2686,                 1.5931,               0.008713,               0.008713,               0.008713
                     16,                0.92217,                 1.9337,                 1.3459,                0.37098,                0.40293,                0.34302,                0.26847,                0.98315,                 2.0755,                  1.538,               0.008614,               0.008614,               0.008614
                     17,                 0.9228,                 1.9231,                 1.3333,                0.35479,                0.45118,                0.35947,                0.25892,                 1.0302,                 1.8663,                 1.5447,               0.008515,               0.008515,               0.008515
                     18,                0.91158,                 1.9161,                 1.3403,                0.33416,                0.48083,                0.38237,                0.28623,                0.91968,                 1.8936,                 1.4528,               0.008416,               0.008416,               0.008416
                     19,                0.91434,                 1.8676,                 1.3395,                0.28637,                0.50875,                0.35679,                0.27415,                0.91517,                 1.9365,                 1.4731,               0.008317,               0.008317,               0.008317
                     20,                 0.8873,                 1.8249,                 1.3156,                0.30909,                0.46228,                0.36084,                 0.2753,                0.96846,                 1.9464,                  1.462,               0.008218,               0.008218,               0.008218
                     21,                0.87453,                 1.7633,                 1.3048,                0.32667,                 0.4464,                0.33306,                0.25641,                0.90453,                 2.5486,                 1.4138,               0.008119,               0.008119,               0.008119
                     22,                0.90517,                 1.7341,                 1.3149,                0.36884,                 0.5448,                0.43714,                0.33316,                0.89527,                 1.8281,                 1.4473,                0.00802,                0.00802,                0.00802
                     23,                0.88508,                 1.7207,                 1.3153,                0.50318,                0.41138,                 0.4036,                0.31019,                 0.9358,                  1.801,                 1.4343,               0.007921,               0.007921,               0.007921
                     24,                0.83566,                 1.6557,                 1.2887,                0.51264,                0.47669,                0.48308,                0.37759,                0.90412,                 1.7239,                 1.4145,               0.007822,               0.007822,               0.007822
                     25,                0.84828,                 1.7008,                 1.2907,                0.36785,                0.52796,                0.44845,                0.34125,                0.90829,                 1.9751,                 1.4616,               0.007723,               0.007723,               0.007723
                     26,                0.85269,                 1.6854,                 1.2877,                0.36677,                0.49967,                0.39998,                0.29287,                 1.0366,                  2.079,                 1.5769,               0.007624,               0.007624,               0.007624
                     27,                0.83812,                 1.6546,                  1.272,                0.54262,                0.49093,                0.47505,                0.36347,                 0.8929,                 1.7912,                 1.4027,               0.007525,               0.007525,               0.007525
                     28,                 0.8148,                 1.6023,                 1.2646,                 0.3941,                0.52097,                0.42605,                0.33357,                 0.8461,                 1.8123,                 1.3623,               0.007426,               0.007426,               0.007426
                     29,                0.81475,                 1.5715,                 1.2625,                0.36491,                0.44525,                  0.381,                0.28954,                0.97215,                 2.2811,                 1.4979,               0.007327,               0.007327,               0.007327
                     30,                0.80746,                  1.555,                  1.259,                0.48874,                0.54476,                0.50878,                 0.3928,                0.86579,                 1.6654,                 1.3737,               0.007228,               0.007228,               0.007228
                     31,                 0.8154,                 1.5699,                 1.2684,                0.50475,                0.43292,                0.43557,                0.33098,                0.90862,                 1.8892,                 1.4844,               0.007129,               0.007129,               0.007129
                     32,                0.79095,                 1.5123,                 1.2535,                0.53156,                 0.4991,                 0.5198,                0.40344,                0.83376,                  1.618,                 1.3539,                0.00703,                0.00703,                0.00703
